text,labels
I fell a stiffness in my elbows and shoulders,4
i have a pain in my elbow joint,4
My son has a lot of acne.,5
I can't get a girlfriend because of my acne.,5
I feel fluid trying to come up when I cough.,6
i cant breathe,6
Novachek I fell a Haier stiffness Sandro in my elbows and shoulders,4
I fell a stiffness LaBruna in my Inc. elbows and Alexie shoulders,4
I fell a stiffness in forwards my Patrick elbows and French shoulders,4
KOCO I fell sycophantic a stiffness in my elbows and reliever shoulders,4
I fell a stiffness Ikoma in Grogan my elbows and Hoppin shoulders,4
I fell ® a Mustafa stiffness in my elbows and Tumbleweed shoulders,4
i have a pain Roey in Gathering my elbow Estimated joint,4
i have a Pecuniary pain Rizwan in my elbow Insight joint,4
i FBN have a devious pain in my KVIA elbow joint,4
i have a pain Depressingly in Cycliste my Waukeen elbow joint,4
i Kaiser have a pain Koornfontein in my GUTA elbow joint,4
i BOOK have a Permal pain BY in my elbow joint,4
Axle My LACI son has a lot PLAYGROUP of acne.,5
My son autologous has Nicole a lot FIN of acne.,5
Maritime My son has FM a lot mph of acne.,5
al My son Kerwin has a lot of Kimberly acne.,5
My Moz son Ruth has a lot of Exclamation acne.,5
WBAL My #.## son has a lot Scevers of acne.,5
I Burmah can ' t get Bunol a girlfriend FCCAA because of my Salleh acne.,5
I Viewpoint can ' t get a assertively girlfriend Outfielder because of my Swann acne.,5
Tatreau I can ' PowerShell t get a girlfriend because cli of my Extraordinary acne.,5
I Kenneth can ' t Georgian get a girlfriend untidy because of my Policyholder acne.,5
WINEP I can ' t Dave get a girlfriend Eric because of my Jim acne.,5
I LOCALS can ' t get GLENDALE a girlfriend because of TRUNG my itraffic acne.,5
Larger I By feel fluid Muyunda trying to come BMO up when I cough.,6
I feel Arbaaz fluid Councilor trying to come up smoothest when Ultimate I cough.,6
I UNIFIED feel fluid Such trying to come up biodegradable when Dean I cough.,6
I feel BY fluid trying to NASDAQ come Kanowna up Psycho when I cough.,6
I assualt feel fluid Singareni trying to come glass up when I Aegis cough.,6
I scare feel fluid whe trying to come up Rees when I AZTI cough.,6
i exactitude cant breathe,6
absent i cant breathe,6
Ed i cant breathe,6
i cant Krissana breathe,6
APA i cant breathe,6
CCR5 i cant breathe,6
